YEAR,MO,DY,T2M,RH2M,WS50M_MAX,WS50M_MIN,WS50M
1982,1,1,25.87,85.06,6.38,4.58,5.44
1982,1,2,25.64,84.31,7.27,5.03,6.23
1982,1,3,25.45,84.06,6.7,4.41,5.19
1982,1,4,25.37,85.12,5.81,4.73,5.18
1982,1,5,25.4,83.19,6.22,4.88,5.54
1982,1,6,25.21,80.5,5.7,4.94,5.24
1982,1,7,25,82.38,6.87,4.77,5.55
1982,1,8,24.98,81.75,7.65,6.23,6.69
1982,1,9,24.61,81.69,6.7,4,4.76
1982,1,10,24.66,81.88,5.42,3.37,4.5
1982,1,11,24.89,80.94,5.21,1.97,3.91
1982,1,12,24.92,82,4.41,3,3.66
1982,1,13,24.9,83.5,4.42,3.23,3.83
1982,1,14,25.12,83.88,5.13,4.12,4.6
1982,1,15,24.9,83.75,6.48,3.88,5.18
1982,1,16,24.69,82.69,6.74,5.16,6.06
1982,1,17,24.65,80.81,7.44,6.47,7
1982,1,18,24.42,81.12,6.53,5.23,5.91
1982,1,19,24.62,83.31,6.06,4.75,5.43
1982,1,20,24.71,81.5,6.15,5.13,5.6
1982,1,21,24.88,80.81,5.88,4.11,5.07
1982,1,22,24.78,82.44,4.94,3.71,4.37
1982,1,23,24.97,83.19,5.18,3.7,4.43
1982,1,24,25.15,81.88,5.69,3.87,4.58
1982,1,25,25.02,82.12,5.27,4.09,4.66
1982,1,26,25.26,80,6.44,4.02,5.11
1982,1,27,25.07,82.88,6.66,4.59,5.44
1982,1,28,25.35,83.5,7.05,4.41,5.68
1982,1,29,25.48,83.62,7.68,5.33,6.48
1982,1,30,25.35,85.5,6.71,4.43,5.73
1982,1,31,25.55,86.88,7.53,6.21,6.8
1982,2,1,25.47,86.81,7.66,6.36,6.75
1982,2,2,25.55,85.06,6.41,4.81,5.61
1982,2,3,25.44,84.44,5.45,4.09,4.81
1982,2,4,25.23,84.88,4.49,2.68,3.37
1982,2,5,24.81,86.06,3.76,2.15,2.91
1982,2,6,24.92,84.19,4.75,3.2,3.8
1982,2,7,24.88,80.56,5.11,3.21,3.96
1982,2,8,25.01,83.94,5.23,2.61,4.05
1982,2,9,25.16,85.06,5.14,3.88,4.49
1982,2,10,25.14,79.38,3.93,2.69,3.33
1982,2,11,24.45,85.94,5.02,2.81,3.82
1982,2,12,24.33,88.31,5.12,3.26,4.31
1982,2,13,24.76,87.94,4.53,3.18,3.75
1982,2,14,24.97,87.06,5.62,3.48,4.57
1982,2,15,25.4,81.38,5.9,4.27,5.29
1982,2,16,25.36,79.94,6.16,4.91,5.41
1982,2,17,25.38,77.5,5.62,4.15,4.88
1982,2,18,24.91,84.06,4.76,3.48,4.02
1982,2,19,25.56,84.12,4.11,3.16,3.7
1982,2,20,25.88,83.94,3.95,2.82,3.24
1982,2,21,26.15,84.12,3.65,2.18,2.98
1982,2,22,26.21,84.12,4.14,2.45,3.33
1982,2,23,26.2,83.94,4.08,1.36,2.77
1982,2,24,26.28,81.5,3.83,0.8,2.17
1982,2,25,26.21,80.5,3.55,1.18,2.62
1982,2,26,26.48,84.25,4.6,2.73,3.32
1982,2,27,26.7,84.38,6.3,3.95,4.91
1982,2,28,26.79,83.62,4.52,2.97,3.83
1982,3,1,26.27,85.25,5.84,3.62,4.88
1982,3,2,25.91,79,5.55,4.26,4.67
1982,3,3,26.33,81.38,4.89,3.29,4.14
1982,3,4,26.23,85.62,4.43,2.96,3.74
1982,3,5,26.61,78.56,2.99,1.77,2.41
1982,3,6,26.76,76.88,4.62,0.93,2.22
1982,3,7,26.9,80.19,4.12,1.7,2.62
1982,3,8,27.2,78.69,3.68,1.19,2.37
1982,3,9,27.13,79.81,4.3,2.25,3.35
1982,3,10,26.95,82.81,5.46,3.32,4.24
1982,3,11,27.09,80.38,6.34,3.27,4.52
1982,3,12,26.11,79.44,4.43,2.6,3.35
1982,3,13,26.84,74.69,3.59,1.88,2.71
1982,3,14,26.83,81,4.73,1.3,3.3
1982,3,15,26.83,78.69,4.01,2.5,3.27
1982,3,16,26.87,79.94,5.02,2.63,3.79
1982,3,17,27.08,79.94,4.66,3.24,3.98
1982,3,18,27.19,79.19,6.02,3.34,4.68
1982,3,19,26.94,77.06,4.78,2.12,3.48
1982,3,20,27.44,77.88,4.27,3.09,3.68
1982,3,21,27.53,75.75,4.19,2.3,3.46
1982,3,22,27.31,76,4.2,2.79,3.35
1982,3,23,27.65,75.31,4.49,2.05,3.16
1982,3,24,28.55,71,3.94,0.29,2.48
1982,3,25,28.6,75.62,5.01,1.51,2.78
1982,3,26,27.98,79.25,5.05,2.97,3.91
1982,3,27,27.62,78,4.39,0.6,2.71
1982,3,28,27.65,79.38,5.88,2.7,4.25
1982,3,29,27.78,79.69,5.96,3.88,4.62
1982,3,30,27.23,78.25,4.23,1.52,3.02
1982,3,31,27.78,70.12,4.22,1.55,2.67
1982,4,1,27.98,76.69,5.24,2.34,3.57
1982,4,2,28.64,76.19,4.77,0.46,3.02
1982,4,3,27.87,77.5,2.26,0.89,1.62
1982,4,4,28.29,74.88,4.15,0.27,2.33
1982,4,5,27.9,78.5,5.05,1.61,3.07
1982,4,6,27.56,78.5,4.23,3.08,3.7
1982,4,7,28.06,72.19,5.51,3.22,4.31
1982,4,8,28.06,74.44,4.55,2.73,3.62
1982,4,9,27.37,82.56,4.02,1.66,3.14
1982,4,10,27.74,81.69,6.78,3.77,5.81
1982,4,11,27.39,83.12,5.48,3.88,5.06
1982,4,12,27.57,77.19,5.02,1.29,3.7
1982,4,13,27.74,76.94,5.49,2.65,4.3
1982,4,14,28.19,75.88,5.66,2.74,4.16
1982,4,15,27.76,77.94,4.5,2.61,3.57
1982,4,16,27.43,80.5,5.85,2.05,4.16
1982,4,17,27.23,81.38,6.62,3.55,5.01
1982,4,18,27.6,81.25,6.72,3.59,4.82
1982,4,19,27.68,83.25,5.88,3.87,4.72
1982,4,20,27.74,82.19,7.12,3.48,4.79
1982,4,21,27.94,77.44,4.55,1.26,3.02
1982,4,22,28.53,71.19,3.95,1.22,2.41
1982,4,23,29.12,70.62,5.12,0.9,2.59
1982,4,24,29.23,73.06,3.22,0.21,1.89
1982,4,25,28.92,75.06,3.85,0.62,1.86
1982,4,26,29.18,74.94,4.03,0.63,2.17
1982,4,27,29.1,75.94,4.17,1.36,2.55
1982,4,28,29.46,72.44,3.27,1.44,2.2
1982,4,29,29.69,69.06,3.52,0.39,1.93
1982,4,30,29.3,71.19,2.74,0.7,1.59
1982,5,1,29.21,73,4.52,0.45,2.03
1982,5,2,29.62,73.75,4.55,0.39,2.62
1982,5,3,29.35,73.69,4.57,1.22,2.53
1982,5,4,29.33,73.31,1.96,0.2,1.25
1982,5,5,29.24,76.38,2.78,1.27,1.96
1982,5,6,28.57,79.81,3.46,0.73,2.27
1982,5,7,28.92,78,3.09,1.52,2.37
1982,5,8,28.76,79,4.08,1.34,2.41
1982,5,9,28.58,79.75,3.73,2.12,2.73
1982,5,10,28.36,76.75,3.27,0.92,2.3
1982,5,11,28.39,79.06,3.82,0.2,2.73
1982,5,12,28.9,77.31,3.8,1.64,2.86
1982,5,13,28.76,75.5,2.98,0.1,2.03
1982,5,14,29.12,70.94,4.29,0.12,2.17
1982,5,15,28.51,75.56,4.06,2.89,3.41
1982,5,16,28.55,75.62,3.75,1.92,3
1982,5,17,28.92,73.44,2.73,0.4,2.02
1982,5,18,28.92,76.38,3.74,1.06,2.59
1982,5,19,28.34,80.81,3.44,1.39,2.4
1982,5,20,28.23,78,3.78,0.43,2.23
1982,5,21,29.01,72.19,3.54,0.17,1.87
1982,5,22,27.73,86.62,4.88,1.45,2.84
1982,5,23,27.6,89.12,6.52,4.23,5.52
1982,5,24,27.74,83.88,5.24,2.57,3.46
1982,5,25,28.55,78.25,3.77,1.95,2.66
1982,5,26,28.58,78.81,2.62,0.95,1.95
1982,5,27,28.24,81.56,2.2,0.73,1.34
1982,5,28,28.14,79,3.8,1.08,2.19
1982,5,29,28.61,76.62,4.5,1.29,2.8
1982,5,30,27.86,82.44,4.07,0.68,2.13
1982,5,31,28.02,84.56,5.27,3.29,4.14
1982,6,1,28.77,79.62,4.66,2.8,4
1982,6,2,28.66,81.44,4.7,1.66,3.34
1982,6,3,29.17,77.38,3.6,0.7,2.09
1982,6,4,28.75,77.69,2.8,0.44,1.75
1982,6,5,28.73,76.62,3.94,0.5,1.92
1982,6,6,27.68,84.06,5.79,3.21,4.25
1982,6,7,28.17,81,5.27,2.1,3.7
1982,6,8,28.57,78.88,4.38,1.38,3
1982,6,9,28.44,82.56,5.44,2.54,4.12
1982,6,10,28.12,77.62,4.47,0.72,2.6
1982,6,11,29.03,70.62,5.4,1.12,3.54
1982,6,12,29.13,76.38,5.27,3.04,4.06
1982,6,13,27.65,82.12,6.16,0.47,3.28
1982,6,14,27.33,80.81,3.59,1.39,2.37
1982,6,15,26.87,80.44,2.17,0.19,0.97
1982,6,16,26.74,80.69,2.77,0.49,1.82
1982,6,17,27.7,76.81,3.3,0.34,1.75
1982,6,18,28.37,74.06,4.47,1.17,2.41
1982,6,19,28.69,74.38,4.96,0.09,3.11
1982,6,20,28.58,73.88,4.62,0.76,3.03
1982,6,21,28.66,74.94,4.16,0.98,2.82
1982,6,22,27.94,76.75,2.93,0.03,1.89
1982,6,23,27.67,77.5,2.47,0.59,1.48
1982,6,24,28.76,72.38,3.24,0.12,1.96
1982,6,25,28.69,70,2.83,1.09,1.98
1982,6,26,28.88,73.19,3.17,0.59,1.94
1982,6,27,28.48,74.88,1.61,0.34,1.02
1982,6,28,28.87,71.44,2.55,0.16,1.05
1982,6,29,28.6,74.31,4.45,1.23,2.97
1982,6,30,27.89,80.69,6.11,3.65,4.75
1982,7,1,27.94,81.81,5.55,3.62,4.5
1982,7,2,27.8,83.75,4.5,2.69,3.79
1982,7,3,27.48,81.94,3.68,1.95,2.8
1982,7,4,27.65,78.94,3.6,2.23,2.94
1982,7,5,27.9,79.19,4.82,3.01,3.64
1982,7,6,27.33,82.44,5.68,2.15,3.99
1982,7,7,27.44,78.62,6.57,1.97,4.54
1982,7,8,26.87,82.19,4.13,1.98,3.12
1982,7,9,26.74,85.88,4.94,2.3,4.02
1982,7,10,27.25,82.88,4.62,1.33,3.36
1982,7,11,27.88,81.38,4.29,1.68,3.44
1982,7,12,28.04,80.25,5.16,0.48,3.37
1982,7,13,27.34,82.5,4.13,0.28,2.5
1982,7,14,28.08,73.88,3.45,0.3,2.31
1982,7,15,27.46,79.56,3.43,1.02,2.59
1982,7,16,27.48,77.88,3.89,0.93,2.17
1982,7,17,27.77,74.88,4.17,2.31,3.2
1982,7,18,27.01,80.62,3.89,1.78,2.95
1982,7,19,26.77,79.81,2.34,0.69,1.61
1982,7,20,26.88,76.19,3.34,0.49,1.95
1982,7,21,26.05,78.19,2.17,0.45,1.05
1982,7,22,26.99,77.56,3.61,0.95,2.3
1982,7,23,27.48,80.31,3.43,2.07,2.96
1982,7,24,27.64,80.69,4.52,1.41,3.03
1982,7,25,27.79,77.38,4.56,1.3,3.02
1982,7,26,28.07,73.12,5.19,1.54,3.45
1982,7,27,28,74.62,4.88,2.35,3.54
1982,7,28,28,72.19,5.09,2.82,4.17
1982,7,29,28.11,75.69,5.8,2.59,4.3
1982,7,30,28.28,77.31,6.23,1.23,4.34
1982,7,31,28.06,78,6.55,1.81,4.29
1982,8,1,27.73,81,5.5,2.27,4.4
1982,8,2,27.54,81.75,4.36,0.84,2.52
1982,8,3,27.76,81,4.14,0.5,2.71
1982,8,4,28.16,76.81,4.89,0.3,2.74
1982,8,5,28.26,74.25,2.76,1.33,1.81
1982,8,6,27.01,83.56,3.69,1.53,2.54
1982,8,7,27.25,82.62,4.88,2.66,4.29
1982,8,8,27.51,78.31,4.61,0.46,2.95
1982,8,9,27.65,78.44,4.63,1.28,3.28
1982,8,10,27.16,81.44,4.88,2.07,3.91
1982,8,11,27.26,80.31,3.22,1.17,2.31
1982,8,12,27.08,81.12,3.74,1.23,2.73
1982,8,13,27.54,79.81,3.71,0.59,2.61
1982,8,14,27.58,81.44,4.41,1.55,3.16
1982,8,15,27.99,79.5,4.71,0.44,2.72
1982,8,16,27.62,78.94,4.51,1.82,2.9
1982,8,17,27.48,77.38,3.2,0.8,1.72
1982,8,18,27.64,80.56,4.59,2.2,3.08
1982,8,19,27.83,81.31,5.96,2.84,4.51
1982,8,20,27.57,82.12,5.48,2.1,3.8
1982,8,21,27.46,81.38,3.95,0.31,2.34
1982,8,22,26.8,85.38,4.33,2.66,3.34
1982,8,23,27.28,79.56,4.28,0.22,2.4
1982,8,24,27.91,76,3.59,0.1,2.08
1982,8,25,27.07,83.44,5.42,1.86,3.5
1982,8,26,27.82,78.31,2.84,1.3,2.13
1982,8,27,27.07,86.06,5.95,1.84,4.1
1982,8,28,26.53,85.81,4.08,1.22,2.91
1982,8,29,27.36,75.81,3.78,0.08,1.84
1982,8,30,27.42,76.81,3.46,1.09,2.43
1982,8,31,27.83,75.81,2.94,1.7,2.18
1982,9,1,28.02,75,4.16,1.19,2.62
1982,9,2,27.84,73.5,3.88,0.76,2.6
1982,9,3,27.91,74.12,2.84,0.98,2.13
1982,9,4,27.76,76.81,2.67,0.31,1.44
1982,9,5,27.84,78,3.44,0.25,2.18
1982,9,6,28.37,75.5,3.55,0.08,1.62
